standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,status,mandatory_status,summary,official_url,date_verified,verification_status,notes
AESO-RULES-STANDARDS-TARIFF,AESO Rules Standards and Tariff,Rules Standards and Tariff,AESO,collection,Canada - Alberta,AESO authoritative documents,current,Active,Binding and guidance mix depending on document type,"AESO portal for ISO Rules Alberta Reliability Standards ISO tariff compliance monitoring glossary and information documents.",https://www.aeso.ca/rules-standards-and-tariff/,2026-08-23,verified,"Use child records for authoritative document types."
AESO-ISO-RULES,AESO ISO Rules,ISO Rules,AESO,rules_family,Canada - Alberta,AESO market and system rules,2026-07-10,Active,Binding ISO rules in Alberta,"Rules for safe reliable and economic operation of the Alberta Interconnected Electric System and Alberta wholesale market.",https://www.aeso.ca/rules-standards-and-tariff/iso-rules/,2026-08-23,verified,"Current complete set verified as July 10 2026."
AESO-REM-ISO-RULES,AESO REM ISO Rules,Restructured Energy Market ISO Rules,AESO,rules_family,Canada - Alberta,AESO restructured energy market rules,2026,Active,Minister approved REM ISO rules,"Rules approved for implementation and operation of Alberta's Restructured Energy Market.",https://www.aeso.ca/rules-standards-and-tariff/rem-iso-rules/,2026-08-23,verified,"Only currently effective REM ISO rules should be treated as effective."
AESO-ARS,AESO ARS,Alberta Reliability Standards,AESO,standard_family,Canada - Alberta,Alberta reliability standards,2026-04-01,Active,Binding reliability requirements in Alberta when applicable,"Requirements followed by AESO and Alberta market participants for reliable operation of the Alberta interconnected electric system.",https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/,2026-08-23,verified,"Individual current ARS records are listed separately in this file."
AESO-ISO-TARIFF,AESO ISO Tariff,Independent System Operator Tariff,AESO,tariff,Canada - Alberta,AESO tariff,2026-01-01,Active,AUC approved tariff terms and rates,"Rates terms and conditions for persons who receive system access service from Alberta's transmission system.",https://www.aeso.ca/rules-standards-and-tariff/tariff/,2026-08-23,verified,"Tariff components include rates riders terms conditions and appendices."
AESO-CADG,AESO CADG,Consolidated Authoritative Document Glossary,AESO,glossary,Canada - Alberta,AESO authoritative document glossary,2026-03-12,Active,Definitions used in AESO authoritative documents,"Glossary of defined terms used within ISO Rules Alberta Reliability Standards and the ISO tariff.",https://www.aeso.ca/rules-standards-and-tariff/consolidated-authoritative-document-glossary/,2026-08-23,verified,"Future effective definitions should be tracked separately later."
AESO-INFORMATION-DOCUMENTS,AESO Information Documents,Information Documents,AESO,guidance_collection,Canada - Alberta,AESO guidance documents,current,Active,Not authoritative guidance,"Guidance documents related to AESO authoritative documents. AESO states these do not contain binding requirements.",https://www.aeso.ca/rules-standards-and-tariff/information-documents/,2026-08-23,verified,"Do not classify individual information documents as authoritative standards."
AESO-ARS-BAL-001,BAL-001,Real Power Balancing Control Performance,AESO,standard,Canada - Alberta,Alberta reliability standard - Resource and Demand Balancing,current,Active,Binding reliability requirement in Alberta when applicable,"Alberta Reliability Standard in the BAL family for AIES reliability obligations.",https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/,2026-08-23,verified,"Current status verified from AESO Individual Alberta Reliability Standards page."
AESO-ARS-BAL-002,BAL-002,Disturbance Control Performance,AESO,standard,Canada - Alberta,Alberta reliability standard - Resource and Demand Balancing,current,Active,Binding reliability requirement in Alberta when applicable,"Alberta Reliability Standard in the BAL family for AIES reliability obligations.",https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/,2026-08-23,verified,"Current status verified from AESO Individual Alberta Reliability Standards page."
AESO-ARS-BAL-002-WECC,BAL-002-WECC,Contingency Reserves,AESO,standard,Canada - Alberta,Alberta reliability standard - Resource and Demand Balancing,current,Active,Binding reliability requirement in Alberta when applicable,"Alberta Reliability Standard in the BAL family for WECC related contingency reserve obligations.",https://www.aeso.ca/rules-standards-and-tariff/alberta-reliability-standards/,2026-08-23,verified,"Current status verified from AESO Individual Alberta Reliability Standards page."
